rng_seed,bootstrap_iter,code,classifier,clf,test_size,acc,f1,shuffled
1155743916,2,id_target_gps,Logistic Regression,LR,0.2,0.8431372549019608,0.6666666666666666,N
1155743916,2,id_target_gps,Random Forest,RF,0.2,0.8431372549019608,0.6666666666666666,N
1155743916,2,id_target_gps,Logistic Regression,LR,0.2,0.7254901960784313,0.0,Y
1155743916,2,id_target_gps,Random Forest,RF,0.2,0.7254901960784313,0.0,Y
1155743916,2,id_target_gps,Logistic Regression,LR,0.3,0.7763157894736842,0.5405405405405406,N
1155743916,2,id_target_gps,Random Forest,RF,0.3,0.7763157894736842,0.5333333333333333,N
1155743916,2,id_target_gps,Logistic Regression,LR,0.3,0.7368421052631579,0.375,Y
1155743916,2,id_target_gps,Random Forest,RF,0.3,0.7368421052631579,0.08,Y
1155743916,2,id_target_gps,Logistic Regression,LR,0.4,0.7722772277227723,0.5818181818181818,N
1155743916,2,id_target_gps,Random Forest,RF,0.4,0.7722772277227723,0.6530612244897959,N
1155743916,2,id_target_gps,Logistic Regression,LR,0.4,0.6732673267326733,0.23255813953488372,Y
1155743916,2,id_target_gps,Random Forest,RF,0.4,0.6732673267326733,0.10256410256410256,Y
1155743916,2,id_target_gps,Logistic Regression,LR,0.5,0.8015873015873016,0.5454545454545454,N
1155743916,2,id_target_gps,Random Forest,RF,0.5,0.8015873015873016,0.7037037037037037,N
1155743916,2,id_target_gps,Logistic Regression,LR,0.5,0.6666666666666666,0.19230769230769232,Y
1155743916,2,id_target_gps,Random Forest,RF,0.5,0.6666666666666666,0.23529411764705882,Y
1155743916,2,id_target_gps,Logistic Regression,LR,0.6,0.8145695364238411,0.6410256410256411,N
1155743916,2,id_target_gps,Random Forest,RF,0.6,0.8145695364238411,0.7368421052631579,N
1155743916,2,id_target_gps,Logistic Regression,LR,0.6,0.6423841059602649,0.20588235294117646,Y
1155743916,2,id_target_gps,Random Forest,RF,0.6,0.6423841059602649,0.21428571428571427,Y
1155743916,2,id_target_gps,Logistic Regression,LR,0.7,0.8295454545454546,0.6428571428571429,N
1155743916,2,id_target_gps,Random Forest,RF,0.7,0.8295454545454546,0.6575342465753424,N
1155743916,2,id_target_gps,Logistic Regression,LR,0.7,0.6420454545454546,0.2222222222222222,Y
1155743916,2,id_target_gps,Random Forest,RF,0.7,0.6420454545454546,0.11940298507462686,Y
1155743916,2,id_target_gps,Logistic Regression,LR,0.8,0.746268656716418,0.592,N
1155743916,2,id_target_gps,Random Forest,RF,0.8,0.746268656716418,0.6534653465346535,N
1155743916,2,id_target_gps,Logistic Regression,LR,0.8,0.6268656716417911,0.21052631578947367,Y
1155743916,2,id_target_gps,Random Forest,RF,0.8,0.6268656716417911,0.11428571428571428,Y
1155743916,2,id_target_gps,Logistic Regression,LR,0.9,0.7345132743362832,0.6,N
1155743916,2,id_target_gps,Random Forest,RF,0.9,0.7345132743362832,0.4186046511627907,N
1155743916,2,id_target_gps,Logistic Regression,LR,0.9,0.5707964601769911,0.32167832167832167,Y
1155743916,2,id_target_gps,Random Forest,RF,0.9,0.5707964601769911,0.20224719101123595,Y
1156583004,2,coercive_control,Logistic Regression,LR,0.1,0.8846153846153846,0.7692307692307693,N
1156583004,2,coercive_control,Random Forest,RF,0.1,0.8846153846153846,0.9333333333333333,N
1156583004,2,coercive_control,Logistic Regression,LR,0.1,0.7307692307692307,0.0,Y
1156583004,2,coercive_control,Random Forest,RF,0.1,0.7307692307692307,0.0,Y
1156583004,2,coercive_control,Logistic Regression,LR,0.2,0.803921568627451,0.6666666666666666,N
1156583004,2,coercive_control,Random Forest,RF,0.2,0.803921568627451,0.7407407407407407,N
1156583004,2,coercive_control,Logistic Regression,LR,0.2,0.6666666666666666,0.0,Y
1156583004,2,coercive_control,Random Forest,RF,0.2,0.6666666666666666,0.19047619047619047,Y
1156583004,2,coercive_control,Logistic Regression,LR,0.3,0.8157894736842105,0.6666666666666666,N
1156583004,2,coercive_control,Random Forest,RF,0.3,0.8157894736842105,0.8717948717948718,N
1156583004,2,coercive_control,Logistic Regression,LR,0.3,0.7105263157894737,0.0,Y
1156583004,2,coercive_control,Random Forest,RF,0.3,0.7105263157894737,0.08333333333333333,Y
1156583004,2,coercive_control,Logistic Regression,LR,0.4,0.7920792079207921,0.5714285714285714,N
1156583004,2,coercive_control,Random Forest,RF,0.4,0.7920792079207921,0.625,N
1156583004,2,coercive_control,Logistic Regression,LR,0.4,0.6831683168316832,0.1111111111111111,Y
1156583004,2,coercive_control,Random Forest,RF,0.4,0.6831683168316832,0.1111111111111111,Y
1156583004,2,coercive_control,Logistic Regression,LR,0.5,0.746031746031746,0.5,N
1156583004,2,coercive_control,Random Forest,RF,0.5,0.746031746031746,0.65625,N
1156583004,2,coercive_control,Logistic Regression,LR,0.5,0.5396825396825397,0.09375,Y
1156583004,2,coercive_control,Random Forest,RF,0.5,0.5396825396825397,0.18181818181818182,Y
1156583004,2,coercive_control,Logistic Regression,LR,0.6,0.7880794701986755,0.5428571428571428,N
1156583004,2,coercive_control,Random Forest,RF,0.6,0.7880794701986755,0.7027027027027027,N
1156583004,2,coercive_control,Logistic Regression,LR,0.6,0.6556291390728477,0.21212121212121213,Y
1156583004,2,coercive_control,Random Forest,RF,0.6,0.6556291390728477,0.14035087719298245,Y
1156583004,2,coercive_control,Logistic Regression,LR,0.7,0.7954545454545454,0.5714285714285714,N
1156583004,2,coercive_control,Random Forest,RF,0.7,0.7954545454545454,0.6904761904761905,N
1156583004,2,coercive_control,Logistic Regression,LR,0.7,0.5852272727272727,0.26262626262626265,Y
1156583004,2,coercive_control,Random Forest,RF,0.7,0.5852272727272727,0.1686746987951807,Y
1156583004,2,coercive_control,Logistic Regression,LR,0.8,0.7711442786069652,0.6166666666666667,N
1156583004,2,coercive_control,Random Forest,RF,0.8,0.7711442786069652,0.6666666666666666,N
1156583004,2,coercive_control,Logistic Regression,LR,0.8,0.6368159203980099,0.16091954022988506,Y
1156583004,2,coercive_control,Random Forest,RF,0.8,0.6368159203980099,0.09302325581395349,Y
1156583004,2,coercive_control,Logistic Regression,LR,0.9,0.831858407079646,0.6346153846153846,N
1156583004,2,coercive_control,Random Forest,RF,0.9,0.831858407079646,0.5416666666666666,N
1156583004,2,coercive_control,Logistic Regression,LR,0.9,0.6592920353982301,0.2803738317757009,Y
1156583004,2,coercive_control,Random Forest,RF,0.9,0.6592920353982301,0.09090909090909091,Y
1157422092,2,existential_threat,Logistic Regression,LR,0.1,0.8846153846153846,0.6666666666666666,N
1157422092,2,existential_threat,Random Forest,RF,0.1,0.8846153846153846,0.75,N
1157422092,2,existential_threat,Logistic Regression,LR,0.1,0.8076923076923077,0.0,Y
1157422092,2,existential_threat,Random Forest,RF,0.1,0.8076923076923077,0.0,Y
1157422092,2,existential_threat,Logistic Regression,LR,0.2,0.8235294117647058,0.4,N
1157422092,2,existential_threat,Random Forest,RF,0.2,0.8235294117647058,0.5714285714285714,N
1157422092,2,existential_threat,Logistic Regression,LR,0.2,0.7647058823529411,0.0,Y
1157422092,2,existential_threat,Random Forest,RF,0.2,0.7647058823529411,0.0,Y
1157422092,2,existential_threat,Logistic Regression,LR,0.3,0.7894736842105263,0.38461538461538464,N
1157422092,2,existential_threat,Random Forest,RF,0.3,0.7894736842105263,0.6363636363636364,N
1157422092,2,existential_threat,Logistic Regression,LR,0.3,0.8157894736842105,0.0,Y
1157422092,2,existential_threat,Random Forest,RF,0.3,0.8157894736842105,0.0,Y
1157422092,2,existential_threat,Logistic Regression,LR,0.4,0.900990099009901,0.6666666666666666,N
1157422092,2,existential_threat,Random Forest,RF,0.4,0.900990099009901,0.5925925925925926,N
1157422092,2,existential_threat,Logistic Regression,LR,0.4,0.7920792079207921,0.16,Y
